,eid,doi,pii,pubmed_id,title,subtype,subtypeDescription,creator,afid,affilname,affiliation_city,affiliation_country,author_count,author_names,author_ids,author_afids,coverDate,coverDisplayDate,publicationName,issn,source_id,eIssn,aggregationType,volume,issueIdentifier,article_number,pageRange,description,authkeywords,citedby_count,openaccess,freetoread,freetoreadLabel,fund_acr,fund_no,fund_sponsor
183,2-s2.0-85108422378,10.1037/pac0000559,,,The Place of Peace in the ITER Machine Assembly Launch: Thematic Analysis of the Political Speeches in the World’s Largest Science Diplomacy Experiment,ar,Article,Carayannis E.G.,60116650;110555088,GW School of Business;Center for Global Nonkilling,"Washington, D.C.;Honolulu",United States;United States,2,"Carayannis, Elias G.;Draper, John",7006225155;37116672900,60116650;110555088,2021-01-01,2021,Peace and Conflict,10781919,12793,,Journal,27,4,,665-668,"This study begins by reviewing the historical importance of peace in the ITER fusion experiment, the world's largest science diplomacy experiment, including by referencing other nuclear peacebuilding attempts, like the Baruch Plan and Atoms for Peace. It thematically analyses the speeches delivered by ITER consortium member state leaders at the July 28, 2020 ITER Machine Assembly Phase launch, which covered topics including fusion being a clean and safe form of energy and fusion's potential applications for climate management. The study emphasizes that Putin and the US representative did not reference peace, despite ITER being conceived by the Soviet Union and USA as a peacebuilding experiment, while China and others did. To address backsliding, the study recommends ITER engaging with the Call for a Global Commission for Urgent Action on Fusion Energy, issued in 2020, which incorporates a peacebuilding strand.",discourse analysis | ITER | nuclear fusion | peace-building | science diplomacy,3,0,,,,undefined,
184,2-s2.0-85107459998,10.1080/07341512.2021.1897963,,,"Three tons of uranium from the International Atomic Energy Agency: diplomacy over nuclear fuel for the Japan Research Reactor-3 at the Board of Governors’ meetings, 1958–1959",ar,Article,Ito K.,60021523,The Graduate University for Advanced Studies,Hayama,Japan,1,"Ito, Kenji",55722844400,60021523,2021-01-01,2021,History and Technology,7341512,6500153126,14772620,Journal,37,1,,67-89,"This paper combines renewed attention to science diplomacy with the rising interest in material and ontological aspects of science studies. It examines nuclear diplomacy by reviewing negotiations over three tons of natural uranium that the Japanese government requested from the International Atomic Energy Agency (IAEA) in 1958. The uranium was half the amount required for the Japan Research Reactor-3, which reached criticality in 1962 and became Japan’s first domestically developed nuclear reactor. Japan’s request provided an opportunity to reaffirm the IAEA’s raison d’être and set in motion the process of establishing a safeguarding system against the military use of atomic energy. The IAEA Board of Governors deliberated on the issue from October 1958 to April 1959. Although Japan’s request was generally welcomed, it sparked confrontations between countries that accepted IAEA safeguards and those against them. By analysing the IAEA Board’s official records, this paper shows how the negotiations transformed the uranium into a ‘diplomatic object’.",diplomatic object | International Atomic Energy Agency (IAEA) | Japan Research Reactor-3 (JRR-3) | Nuclear diplomacy | safeguards,1,0,,,KAKEN,JP17K01174,Japan Society for the Promotion of Science
185,2-s2.0-85107399331,10.1080/07341512.2021.1891851,,,The ways and means of ITER: reciprocity and compromise in fusion science diplomacy,ar,Article,Åberg A.,60000990,Chalmers University of Technology,Gothenburg,Sweden,1,"Åberg, Anna",57200421372,60000990,2021-01-01,2021,History and Technology,7341512,6500153126,14772620,Journal,37,1,,106-124,"ITER (short for International Thermonuclear Experimental Reactor, and the Latin word for ‘the way’, as in ‘the way to new energy’), a controlled thermonuclear fusion experiment currently being built in Cadarache, France, is one of the world’s largest technoscientific collaborations. ITER’s complex organisation is rooted in decisions taken during the early negotiation phase in the 1990s. This article focuses on this initial period of the ITER negotiations, showing the importance of reciprocity and compromise in the organizational decisions of the project. These decisions were enacted by actors and organisations who strived to keep ITER together through continuous ‘backstage’ diplomacy work. This work included finding acceptable compromises for the involved Parties on both a diplomatic and scientific level. Looking closely at such work reveals the entangled character of science and diplomacy in large international technoscientific collaborations, as well as the need for compromise to make a project like ITER materialise.",big science | compromise | Fusion | ITER | reciprocity | science diplomacy,2,1,repositoryvor,Green,H2020,770523,Horizon 2020 Framework Programme
186,2-s2.0-85102467423,10.1093/oso/9780190946265.001.0001,,,"The Survival Nexus: Science, Technology, and World Affairs",bk,Book,Weiss C.,,,,,1,"Weiss, Charles",7202167251,,2021-01-01,1 January 2021,"The Survival Nexus: Science, Technology, and World Affairs",,21101092324,,Book,,,,1-365,"The impact of science and technology on world affairs is shaped by politics, economics, business, ethics, law, psychology, and culture. This nexus is a neglected aspect of international affairs. It cuts across and unites diverse issues critical to human survival: Climate change, global health, nuclear weapons, Internet governance, cybersecurity, jobs, competitiveness, poverty, hunger, and the management of new technologies like autonomous weapons, hypersonic missiles, geoengineering, and gene drivers. Advances in science and technology promise both great benefits and critical threats. Appropriate policies can stimulate and guide scientific and technological advances to create new ways to achieve a healthy environment, sustainable energy systems, equitable growth, full employment, and reduced poverty. But we are allowing technology to push ourselves into uncharted and dangerous territory. Long-standing modes of international cooperation are under increasing pressure, and too little effort is being made to strengthen and update them. Nor are the strong global norms being built that are needed to manage new technologies. Underlying all of the global problems discussed in this book are considerations of basic ethics: Willingness to respect scientific facts, to act today to forestall long-term dangers, and to ensure equitable sharing of the benefits, costs, and risks from advances in science and technology.",Climate change | Competitiveness | Cybersecurity | Employment | Global health | International affairs | Internet governance | Nuclear | Science and technology | Science diplomacy,5,0,,,,undefined,
187,2-s2.0-85102058596,10.1080/07341512.2021.1905462,,,The co-production of nuclear science and diplomacy: towards a transnational understanding of nuclear things,ar,Article,Ito K.,60021523;60000765,The Graduate University for Advanced Studies;Friedrich-Alexander-Universität Erlangen-Nürnberg,Hayama;Erlangen,Japan;Germany,2,"Ito, Kenji;Rentetzi, Maria",55722844400;15049716900,60021523;60000765,2021-01-01,2021,History and Technology,7341512,6500153126,14772620,Journal,37,1,,4-20,"This paper proposes diplomatic studies of science as a new field of research, which sheds light on actual diplomatic processes as an integral part of knowledge making and presents the notion of nuclear science and diplomacy as co-produced. Science and diplomacy display fundamental similarities: scientists attempt to make knowledge produced locally seem global, thereby achieving universal epistemic order, while diplomats endeavour to maintain political order on a global scale that accommodates the local concerns of their country. In particular, the co-production of nuclear knowledge and political nuclear order has characterised the post-World War Two period. Hence, the making of global political orders includes the emergence of relevant diplomatic actors, which comprise not only sovereign states but also non-state actors, such as international organisations or individual experts. This paper claims that nuclear history provides a suitable ground for cross-fertilisation between the history of science and diplomatic history.",Nuclear diplomacy | nuclear history | science diplomacy | the Cold War | The International Atomic Energy Agency (IAEA),9,0,,,H2020,770523,Horizon 2020 Framework Programme
188,2-s2.0-85101714103,10.5530/ctbp.2021.1.12,,,Vaccine diplomacy: Exploring the benefits of international collaboration,ar,Article,Varshney S.K.,60069552;60006799,"Department of Science and Technology, Government of India;National Institute of Science Communication and Information Resources India",New Delhi;New Delhi,India;India,2,"Varshney, S. K.;Prasanna, N. K.",57222153682;57222155458,60069552;60006799,2021-01-01,January 2021,Current Trends in Biotechnology and Pharmacy,9738916,17300154738,22307303,Journal,15,1,,110-114,"Global health diplomacy has given birth to vaccine diplomacy and later it got linked with vaccine science diplomacy which itself an amalgamation of science diplomacy. Since India is leader in vaccine manufacturing, it contributes approximately 60% of vaccines to the global vaccine supply. According to the present scenario, India is harnessing the power of soft skill by offering COVID?19 vaccines to its immediate neighbors to leverage diplomacy. Vaccine diplomacy could serve humanity and suffering countries if significant collaborations and efforts by global entities are to be done on the multilateral level.",Antipoverty vaccine | Ascariasis and trichuriasis | Influenza | Pandemic | Vaccine,5,0,,,,undefined,
189,2-s2.0-85097732222,10.1080/03080188.2020.1840220,,,"Good governance as a response to discontents? Déjà vu, or lessons for AI from other emerging technologies",ar,Article,Ulnicane I.,60017098,De Montfort University,Leicester,United Kingdom,5,"Ulnicane, Inga;Eke, Damian Okaibedi;Knight, William;Ogoh, George;Stahl, Bernd Carsten",56529535000;52263596000;57209326762;57208128611;10045088600,60017098;60017098;60017098;60017098;60017098,2021-01-01,2021,Interdisciplinary Science Reviews,3080188,22963,17432790,Journal,46,1-2,,71-93,"Recent advances in Artificial Intelligence (AI) have led to intense debates about benefits and concerns associated with this powerful technology. These concerns and debates have similarities with developments in other emerging technologies characterized by prominent impacts and uncertainties. Against this background, this paper asks, What can AI governance, policy and ethics learn from other emerging technologies to address concerns and ensure that AI develops in a socially beneficial way? From recent literature on governance, policy and ethics of emerging technologies, six lessons are derived focusing on inclusive governance with balanced and transparent involvement of government, civil society and private sector; diverse roles of the state including mitigating risks, enabling public participation and mediating diverse interests; objectives of technology development prioritizing societal benefits; international collaboration supported by science diplomacy, as well as learning from computing ethics and Responsible Innovation.",Artificial Intelligence | emerging technologies | ethics | governance | policy | regulation | Responsible Innovation | societal challenges,24,1,repositoryvor,Green,H2020,720270,Horizon 2020 Framework Programme
190,2-s2.0-85091244688,10.1002/eet.1911,,,Can science diplomacy address the global climate change challenge?,ar,Article,Özkaragöz Doğan E.,60103368;60004305;107473103,Université de Strasbourg;Middle East Technical University (METU);Republic of Turkey Ministry of Industry and Technology,Strasbourg;Ankara;Ankara,France;Turkey;Turkey,3,"Özkaragöz Doğan, Elif;Uygun, Zafer;Akçomak, İbrahim Semih",57219091939;57219097674;25722921600,60103368;107473103;60004305,2021-01-01,January/February 2021,Environmental Policy and Governance,1756932X,17700156312,17569338,Journal,31,1,,31-45,"Science diplomacy has been used for the broad purpose of international knowledge management. Countries engage in science diplomacy to access and promote knowledge, as well as influence public opinion. Despite the rising interest in science diplomacy, there is very little research on how science diplomacy can be utilized to tackle global challenges such as climate change. This paper aims to bring developing countries in front and show how science and technology cooperation among developing countries and between developing and developed countries can address climate change problems. Looking from a science and technology policy lens and highlighting the difference between science diplomacy and epistemic communities, we investigate structured government attempts in initiating cooperation toward specific ends. This paper looks at five cases: Partnerships for Enhanced Engagement in Research (PEER), Middle East Regional Cooperation (MERC) Program, bilateral cooperation between Germany and China on electromobility, Islamic Development Bank (IDB) Reverse Linkage program, and The China South–South Climate Cooperation Fund. Then it builds a taxonomy on how science diplomacy is used in climate change mitigation and adaptation and attempts to make a synthesis of the cases. We argue that there is room for developing countries in international knowledge management if science diplomacy tools are properly designed and managed to take context-specific nature of countries into account.",climate change | developing countries | energy | policy | science diplomacy,4,0,,,BMBF,undefined,Bundesministerium für Bildung und Forschung
191,2-s2.0-85087451814,10.1177/0022009419888273,,,"An ‘Exceedingly Delicate Undertaking’: Sino-American Science Diplomacy, 1966–78",ar,Article,Millwood P.,60003059,London School of Economics and Political Science,London,United Kingdom,1,"Millwood, Pete",57190588140,60003059,2021-01-01,January 2021,Journal of Contemporary History,220094,15860,14617250,Journal,56,1,,166-190,"In the early twentieth century, Chinese science flourished, buoyed by the country’s active connections to the global scientific community. No country developed deeper ties to Chinese scientists than the United States (US) – until cooperation ceased after the establishment of the People’s Republic of China (PRC) in 1949. This article examines efforts by American scientists to rebuild a relationship with their Chinese colleagues and to reintegrate China into global science. It traces how a transnational American organization – the Committee on Scholarly Communication with the PRC (CSCPRC) – initially failed but ultimately succeeded in extending the frontier of their epistemic community by reopening China to American scientists. Drawing on records from this non-governmental organization, interpolated with Chinese and US government sources, this article argues that the CSCPRC’s failures and successes depended on how effectively they adapted their scholarly initiative to changing US-China diplomatic ties. Scientists were not beholden to politics, however; indeed, they made a critical contribution to the development of Sino-American diplomacy, helping reestablish official relations in 1978. This article further reveals the transnational origins of China’s opening to the world and subsequent meteoric economic development, as well as the nexus between science and America’s historic ‘Open Door’ policy.",China | history of science | international history | transnational history | United States | US-China relations,4,0,repositoryam,Green,4S,undefined,Universität Wien
192,2-s2.0-85068939575,10.1080/15512169.2019.1628766,,,“A Multimethod and Interdisciplinary Approach to Educating Postsecondary Students on Arctic Challenges and Governance”,ar,Article,Boylan B.M.,60011976,University of Alaska Fairbanks,Fairbanks,United States,3,"Boylan, Brandon M.;Ehrlander, Mary F.;Bouffard, Troy J.",56610139800;52663448000;57209853103,60011976;60011976;60011976,2021-01-01,2021,Journal of Political Science Education,15512169,12100156092,15512177,Journal,17,3,,418-436,"Challenges to the Arctic region abound and intersect. Warming, ice and permafrost melting, and pollution jeopardize health and food security of Indigenous and other Northern communities. Problems related to natural resource extraction and shipping are developing. Because these issues cross sovereign boundaries, they must be addressed multilaterally. The Arctic Council is the principal forum in which Arctic states and Indigenous groups address shared concerns in the region. We co-administered a five-day program on science and diplomacy in the Arctic at Dartmouth College in June 2017 to educate postsecondary students on Arctic challenges and governance, foster skills and confidence related to leadership and diplomacy, and inspire civic action in Arctic and international affairs. The program consisted of lectures, discussions, a teamwork and collaboration exercise, a negotiation workshop, and a Model Arctic Council (MAC)—a simulation of delegates’ work in the Arctic Council. We found that students had strongly positive perceptions of the curriculum and felt that they accrued Arctic-related awareness and skills, while developing enthusiasm for engaging in civic affairs. Students attributed the program’s value to the use of multiple pedagogies, especially simulation, an interdisciplinary environment, and mentorship from and engagement with Arctic Council and other practitioners.",Interdisciplinarity; Model Arctic Council; multiple pedagogies; science diplomacy; simulation,2,0,,,,undefined,
193,2-s2.0-85099461049,10.13187/BG.2020.4.2427,,,Personal factor in Russian academic diplomacy of the 1810s – Early 1820s: Experience of the imperial lyceum’s first pedagogues,re,Review,Raynkhardt R.O.,60032576,Moscow State Institute of International Relations (MGIMO),Moscow,Russian Federation,1,"Raynkhardt, Roman O.",57193744803,60032576,2020-12-01,December 2020,Bylye Gody,20739745,21100219925,23100028,Journal,58,4,,2427-2436,"The article provides an analysis of the role of personalities in the academic diplomacy of the first quarter of the XIX century on the case of the Imperial Tsarskoye Selo Lyceum. Using the materials of the Foreign Policy Archive of the Russian Empire alongside specialized literature with recourse to the prosopographic method, the author outlines the impact of professional diplomatic background of the above school’s first directors and teachers on their academic and pedagogic activity. As the most prominent and elitist academic institution of the period in question, the Imperial Lyceum initially did not have an explicitly stipulated specialization. Still, many of its alumni upon graduation embraced a career in diplomacy and became civil servants at the Ministry of Foreign Affairs. Such a choice was to a considerable extent influenced by the professional skills and values transmitted to them by ex-diplomats, who used to be their headmasters and pedagogues. The analysis looks into the particular features, on the one hand, and similarities, on the other hand, of the respective career paths of the latter. It reveals that most of them shared certain values and ethical principles typical for the diplomatic professional community, i.e. patriotism, defense of the State’s national interests and networking. At the same time, a lot of attention was paid to technical training in terms of working with archives, as well as acquiring mastery in foreign languages. The author concludes that in the aggregate these factors shaped a unique educational environment for future diplomats and experts in international relations.",Academic diplomacy | History of Russian diplomacy | Imperial Tsarskoye Selo Lyceum | Professional training of diplomats | Science diplomacy,0,1,publisherfree2read,Bronze,,undefined,
194,2-s2.0-85097510624,10.1057/s41599-020-00668-8,,,Heritage and interculturality in EU science diplomacy,ar,Article,Andersen C.,60030469;60029616,University of Hull;Aarhus Universitet,Hull;Aarhus,United Kingdom;Denmark,3,"Andersen, Casper;Clopot, Cristina;Ifversen, Jan",56646964500;57192686988;24070894800,60029616;60030469;60029616,2020-12-01,December 2020,Humanities and Social Sciences Communications,,21101018925,26629992,Journal,7,1,175,,"In recent years, culture and heritage have explicitly entered into science diplomacy debates and initiatives within the EU system and in EU’s foreign policy. For EU’s external relations heritage offers opportunities for developing partnerships based on shared, entangled histories but also challenges posed by dealing with difficult pasts of domination and colonialism. The paper, therefore, presents a new conceptual model for European science diplomacy that can enable more equitable ways of dealing with colonial heritage in relations between EU countries and partners outside Europe. It does so by combining recent literature on science diplomacy, heritage diplomacy, decolonial thinking, and on the concepts of interculturality. We argue that to engage successfully with colonial legacies and heritage, the concept of science diplomacy needs to be developed from a traditional “diffusionist” understanding towards a dialogical approach, which is epismologically open and acknowledges the inequalities in global knowledge production. In the second part of the paper, the practical implications of the theoretical framework are fleshed out in a discussion of three cases involving colonial heritage: The Tendaguru Fossil Collection, the Royal Museum for Central Africa in Brussels, and the work of Canadian indigenous artist Sonny Assu.",,8,1,publisherfullgold,Gold,H2020,770248,Horizon 2020 Framework Programme
195,2-s2.0-85097374844,10.1002/bewi.202080402,,33616964,Diplomats in Science Diplomacy: Promoting Scientific and Technological Collaboration in International Relations**,ed,Editorial,Jacobsen L.L.,60104588;125381857,Institute of Contemporary History of the Academy of Sciences of the Czech Republic;The National Archives,Prague;Copenhagen,Czech Republic;Denmark,2,"Jacobsen, Lif Lund;Olšáková, Doubravka",57219229489;55612630600,125381857;60104588,2020-12-01,December 2020,Berichte zur Wissenschaftsgeschichte,1706233,19920,15222365,Journal,43,4,,465-472,,,4,1,publisherfree2read,Bronze,,undefined,
196,2-s2.0-85097098253,10.1002/bewi.202000019,,33289100,The Unflinching Mr. Smith and the Nuclear Age**,ar,Article,Turchetti S.,60003771,The University of Manchester,Manchester,United Kingdom,1,"Turchetti, Simone",24538205100,60003771,2020-12-01,December 2020,Berichte zur Wissenschaftsgeschichte,1706233,19920,15222365,Journal,43,4,,521-541,"This article focuses on the U.S. diplomat and nuclear arms control negotiator Gerald (Gerry) Coat Smith in order to cast new light on the importance of diplomats in the context of the set of international activities currently labelled as “science diplomacy.” Smith, a lawyer by training, was a key negotiator in many international agreements on post-WW2 atomic energy projects, from those on uranium prospecting and mining, to reactors technologies to later ones on non-proliferation and disarmament. His career in science (nuclear) diplomacy also epitomized the shortcomings of efforts to align other countries’ posture on nuclear affairs to U.S. wishes. In particular, the unswerving diplomat increasingly understood that strong-arm tactics to dissuade other countries from acquiring nuclear weapons would not limit proliferation. Not only did this inform later U.S. diplomacy approaches, but it lent itself to the ascendancy of the new notion of “soft power” as critical to the re-definition of international affairs.",atomic energy | Cold War | disarmament | international relations | nuclear age | nuclear detection and verification | nuclear proliferation | science diplomat | soft power,1,1,repositoryvor,Green,H2020,770523,Horizon 2020 Framework Programme
197,2-s2.0-85097075548,10.1002/bewi.202000023,,33289133,A Matter of Courtesy: The Role of Soviet Diplomacy and Soviet “System Safeguards” in Maintaining Soviet Influence on Czechoslovak Science before and after 1968,ar,Article,Olšáková D.,60104588,Institute of Contemporary History of the Academy of Sciences of the Czech Republic,Prague,Czech Republic,1,"Olšáková, Doubravka",55612630600,60104588,2020-12-01,December 2020,Berichte zur Wissenschaftsgeschichte,1706233,19920,15222365,Journal,43,4,,542-559,"In 1969, a few short months after the Warsaw Pact invasion of Czechoslovakia, Sergei I. Prasolov, advisor to the Soviet Ambassador in Prague, informed František Šorm, President of the Czechoslovak Academy of Sciences, at a formal meeting that he welcomed Šorm's suggestion to intensify scientific exchange between Czechoslovakia and the Soviet Union. Šorm politely declined this offer. Behind the veneer of diplomatic courtesy on the part of both actors, a real drama was taking place. Šorm and the Czechoslovak Academy of Sciences had actually never formulated such a request. To the contrary, since the late 1950s the academy had repeatedly pointed out that the Soviets were incapable of coordinating scientific activities in the Eastern Bloc. The Soviet system of academic cooperation within the Eastern Bloc had already begun to collapse after the Geneva Summit of 1955, where the Soviets opened the door to international collaboration across the Iron Curtain. Yet it was only in the late 1960s that the Soviets realized that while they dominated large-scale international collaboration, they had lost control of internal developments within the Eastern Bloc.",1968 | Academy of Sciences | Cold War | Czechoslovakia | History of Sciences | Science Diplomacy | USSR,0,0,,,,undefined,
198,2-s2.0-85096941334,10.1002/bewi.202000016,,33245154,"Science for Competition among Powers: Geographical Knowledge, Colonial-Diplomatic Networks, and the Scramble for Africa**",ar,Article,Gamito-Marques D.,60031875;60022729,Universidade Nova de Lisboa;Faculdade de Ciências e Tecnologia da Universidade Nova de Lisboa,Lisbon;Caparica,Portugal;Portugal,1,"Gamito-Marques, Daniel",57194972625,60031875-60022729,2020-12-01,December 2020,Berichte zur Wissenschaftsgeschichte,1706233,19920,15222365,Journal,43,4,,473-492,"Historical studies on the relationship between science and diplomacy tend to focus on events since World War II and on initiatives for the maintenance of peace or to achieve cooperation over contentious matters. This article presents the case of José Vicente Barbosa du Bocage (1823–1907), a Portuguese zoologist who had formal diplomatic responsibilities in a context of competition for the colonization of Africa in the nineteenth century. He used his knowledge in African geography to implement colonial and diplomatic strategies that aimed at outcompeting rival powers. The development of a network of actors with scientific, colonial, and diplomatic expertise was crucial for the negotiations that involved the partition of the Congo basin, which resulted in victories for Portugal that surpassed the country's marginal political relevance at the international level and had long-lasting consequences.",Barbosa du Bocage | Berlin Conference | geographical societies | International African Association | science diplomacy | Scramble for Africa,3,0,,,H2020,770523,Horizon 2020 Framework Programme
199,2-s2.0-85096661782,10.1002/bewi.202000015,,33245155,"For the Benefit of All Men: Oceanography and Franco-American Scientific Diplomacy in the Cold War, 1958–1970**",ar,Article,Martínez-Rius B.,60001422,Sorbonne Université,Paris,France,1,"Martínez-Rius, Beatriz",57220049923,60001422,2020-12-01,December 2020,Berichte zur Wissenschaftsgeschichte,1706233,19920,15222365,Journal,43,4,,581-605,"In the 1960s, the growing strategic importance of ocean exploration led the French government to develop greater capacity in marine scientific research, aiming to promote cooperative and diplomatic relations with the leading states in ocean exploration. Devised during Charles de Gaulle's government (1958–1969), the restructuring of French oceanography culminated, in 1967, in the establishment of the state-led Centre National pour l'Exploitation des Océans (CNEXO). Beyond being intended to control the orientation of marine research at a national level, the CNEXO's mission was to use scientific diplomacy to balance a desire for enhancing international cooperative relations in oceanography with French ambitions to equal the USA's leading capacity to explore the oceans. Its director, the naval officer Yves la Prairie, played a crucial role in articulating scientific, national, and diplomatic interests for France in the oceans.",CNEXO | Cold War | France | Franco-American relations | ocean sciences | oceanography | Science diplomacy,0,1,repositoryvor,Green,H2020,765256,Horizon 2020 Framework Programme
200,2-s2.0-85096538325,10.1071/RJ20055,,,Commentary: On the under-valuing of Australia's expertise in drylands research and practice globally,re,Review,Metternicht G.,60028333;60025804,UNSW Sydney;CSIRO Land and Water,Sydney;Melbourne,Australia;Australia,2,"Metternicht, Graciela;Smith, Mark Stafford",6701407052;57771682300,60028333;60025804,2020-12-01,December 2020,Rangeland Journal,10369872,19847,,Journal,42,5,,253-260,"Global drylands are a significant driver of earth system processes that affect the world's common resources such as the climate. Their peoples are also among the first to be widely affected by global changes such as land degradation and climate change. Yet drylands are a source of many social and technical innovations, globally, as well as in Australia. As a major developed dryland nation, Australia has previously played a major role in extending these innovations to the rest of the world. The nation has reaped reputational and commercial benefits through major research and practice contributions to dryland agriculture, water management and governance, remote area services, indigenous partnerships, dryland monitoring systems, and 'desert knowledge' innovation. Australian researchers continue to contribute to various relevant international processes, yet recognition and support for this within Australia has dropped off markedly in recent years. We analyse the Australian government's investment in research and in overseas aid for drylands over the last two decades, and explore trends in government's active involvement in major international processes related to land. These trends are short-sighted, overlooking potential economic benefits for Australian enterprises, and undermining Australia's stance and scientific leadership in dryland systems globally. In this commentary, we argue that it is time for the trends to be reversed, as this is an area of comparative advantage for Australian diplomacy with significant returns on investment for Australia, both direct and indirect, especially when most emerging economies contain substantial drylands. We identify four major pathways to obtaining benefits from science diplomacy, and four interrelated actions within Australia to enable these-to place a higher emphasis on science diplomacy, to re-forge a bipartisan recognition of Australian drylands expertise, to establish a dedicated Dryland Information Hub, and to create a network of relevant science and technology advisors.",comparative advantage | dryland agriculture | research for development | science diplomacy | sustainable development | theory of change,2,1,publisherhybridgold,Hybrid Gold,,undefined,
201,2-s2.0-85095453059,10.1057/s41599-020-00636-2,,,"Envisioning a “science diplomacy 2.0”: on data, global challenges, and multi-layered networks",ar,Article,Turchetti S.,60008241;60003771,Max Planck Institute for the History of Science;The University of Manchester,Berlin;Manchester,Germany;United Kingdom,2,"Turchetti, Simone;Lalli, Roberto",24538205100;26321648000,60003771;60008241,2020-12-01,1 December 2020,Humanities and Social Sciences Communications,,21101018925,26629992,Journal,7,1,144,,"The term “science diplomacy” broadly identifies interactions between scientific and foreign policy communities connected to the promotion of international scientific exchanges (also as a way to establish constructive relations between countries), and the provision of scientific advice on issues of relevance to more than one nation. Science diplomacy initiatives have been positively portrayed by practitioners, while recent scholarship has underscored the need for these actions to more directly address social and global challenges. In what follows we sketch the contours of a data-driven “science diplomacy 2.0” that could actually be seen as more directly tackling these challenges in two important ways. First, we outline a multi-layered approach that integrates data and meta-data from various disciplines in order to promote greater awareness about what kind of research should actually be prioritized in science diplomacy actions. Second, we argue for the creation of responsible innovation observatories for operationalizing such a methodology at both national and global levels.",,8,1,repositoryvor,Green,H2020,770523,Horizon 2020 Framework Programme
202,2-s2.0-85092766844,10.1057/s41599-020-00617-5,,,Emotional policies: Introducing branding as a tool for science diplomacy,ar,Article,Raev A.,60117886;60017246,"Faculteit Techniek, Bestuur en Management, TU Delft;Eberhard Karls Universität Tübingen",Delft;Tubingen,Netherlands;Germany,2,"Raev, Alexander;Minkman, Ellen",57204724026;56709675700,60017246;60117886,2020-12-01,1 December 2020,Humanities and Social Sciences Communications,,21101018925,26629992,Journal,7,1,126,,"This article seeks to expand the science diplomacy (SD) discourse by introducing the concept of branding, focusing on its use as a tool for nation state decision makers. Although the current literature on SD has explored the relation between science and diplomacy, the question of how individual science projects can effectively aid SD has been left largely unanswered. Drawing on the SD as well as on the place and policy branding literature, a framework for the analysis and conceptualization of branding as a tool for SD and for Public Diplomacy in general is developed. This framework introduces three distinct branding styles: nation branding, policy branding and policy tool branding. The applicability of the framework is demonstrated by the comparison of two cases of branding by nation state policy makers: branding in the field of German transnational education and in the science and knowledge-based Dutch Water Diplomacy. The German case study shows that branding activities relating to ‘German’ SD are fragmented and focus mostly on individual projects, while the use of transnational education as an instrument to advance policy branding or nation branding remains largely underdeveloped. Such a lopsided branding process undermines the effectiveness of branding as an effective SD tool. In contrast, the potential of coordinated branding strategies as a foreign policy tool becomes apparent in the ‘Dutch Delta Approach’. In this centralised and coordinated branding process, activities on all three proposed branding layers were implemented, effectively employing branding to increase the visibility of the Dutch nation state, increase the attraction of its high-tech water management sector as well as to rejuvenate the Netherland’s bi-lateral relations with selected partner countries. Branding, as we argue, should be added to the analysis of contemporary science diplomacy as well as of broader foreign policies, adding to the understanding of SD as an instrument of cross-border communication and global opinion shaping. The paper ends with a discussion of potential limitations of branding, in order to illustrate that branding can be an effective instrument but should not be seen as an international relations panacea.",,2,1,repositoryvor,Green,,undefined,Eberhard Karls Universität Tübingen
203,2-s2.0-85092559589,10.1057/s41599-020-00609-5,,,Conceptualizing science diplomacy in the practitioner-driven literature: a critical review,ar,Article,Ruffini P.B.,60138790,EDEHN - Equipe d’Economie Le Havre Normandie,Le Havre,France,1,"Ruffini, Pierre Bruno",57203587459,60138790,2020-12-01,1 December 2020,Humanities and Social Sciences Communications,,21101018925,26629992,Journal,7,1,124,,"Science diplomacy and the practices it covers have existed for a long time, but the related vocabulary emerged only recently. It is only in the last fifteen years or so that there has been a discourse on science diplomacy, in which the practitioner-driven literature dominates. This article is based on a careful examination of some of its key writings. It aims at reflecting on the construction of the concept of science diplomacy, as it is penned by practitioners. Mainstream narratives magnify the practices of international scientific cooperation and generally under-represent the use of science in foreign policy for competitive purposes. In order to explain the gap that exists between the discourse and the reality of practices, this article puts forward a hypothesis, that of a cultural bias originating from the profile of the leading authors, who are both scientists and actors of science diplomacy.",,17,1,publisherfullgold,Gold,,770523,
